id,name
5383,Dinara Kulibaeva
7512,Spiro Latsis
9878,Daniel Loeb
6094,Luo Jye
1625,Ronald Mcaulay
6579,Alain Merieux
6814,Hans Georg Naeder
9707,Nie Tengyun
8132,Daniel Och
7582,Miuccia Prada
8496,Marc Rowan
7058,Haim Saban
2524,Alvaro Saieh Bendeck
5380,Michael & Reiner Schmidt-Ruthenbeck
8796,Lynn Schusterman
9571,Mark Shoen
4632,Michal Solowow
1855,Daniel Tsai
8769,Richard Tsai
9447,Frank Wang
8984,Meg Whitman
9037,John Catsimatidis
3796,Do Won & Jin Sook Chang
6369,Cheng Cheung Ling
8783,Barry Diller
7149,Jack Dorsey
4608,Yakir Gabay
3988,Allan Goldman
1005,Jane Goldman
5872,Amy Goldman Fowler
7523,Daryl Katz
6836,Diane Kemper
4775,Vladimir Kim
4472,Lai Meisong
4453,Manuel Lao Hernandez
9888,James Leprino
4691,Liang Xinjun
8501,Tom Morris
8654,Thi Phuong Thao Nguyen
9712,Rajan Raheja
4558,Ren Jianhua
7655,Richard Sands
3592,Kerry Stokes
8257,Donald Trump
5307,Romesh T. Wadhwani
4910,Wang Jian
3342,Clifford Asness
9695,Anne Beaufour
3816,Henri Beaufour
4740,Tom Benson
4400,Jim Breyer
3522,Alejandro Bulgheroni
3475,Hasmukh Chudgar
3440,Ennio Doris
6444,Luis Frias
8315,Valentin Gapontsev
6482,Martin Haefner
2462,Christopher Hohn
1222,Johnelle Hunt
4667,Rakesh Jhunjhunwala
5245,Lu Xiangyang
8621,John Middleton
6045,Kazuo Okada
6754,Jorge Perez
3554,Prasert Prasarttong-Osoth
1067,Jean (Gigi) Pritzker
1053,Mochtar Riady
6027,Arkady Rotenberg
4001,Michael Rubin
9424,Robert Sands
4007,Herbert Simon
9155,Robert Toennies
1673,Manuel Villar
8434,Don Vultaggio
2075,Wang Zhenhua
1958,Wu Kaiting
1520,Simon Xie
9690,Chuck Bundrant
8480,Cai Dongchen
5313,Jose And Francisco Jose Calderon Rojas
3764,Jason Chang
2049,Smita Crishna-Godrej
3859,Ding Shizhong
6639,Feng Hailiang
4758,Gerald Ford
4962,Philippe Foriel-Destezet
5202,Adi Godrej
2452,Jamshyd Godrej
6671,Nadir Godrej
7490,Joseph Grendys
8464,Hedda Im Brahm-Droege
5880,Ke Zunhong
8637,Randal Kirk
6562,Alicia Koplowitz
5521,Kwek Leng Beng
5131,Louis Le Duff
6378,Yusaku Maezawa
8674,Sergio Mantegazza
7341,Hans Melchers
3727,Erwin Franz Mueller
7048,Rishad Naoroji
5277,Husnu Ozyegin
2622,Prajogo Pangestu
3697,Jeff Rothschild
3411,Thomas Siebel
1991,Paul Singer
8023,Ralph Sonnenberg
2833,Jon Stryker
3376,Georg Stumpf
3275,Tsai Hong-Tu
6201,Vincent Viola
7793,Radovan Vitek
7274,Wang Laichun
3646,Wang Laisheng
4062,Carlos Ardila Lülle
5351,"William Conway, Jr."
