id,Sector,Company,Worth(BUSD)
2393,Real Estate,WeWork,2.5
8393,Real Estate,real estate,2.5
6743,Food and Beverage,investments,2.5
1009,Sports,"billboards, Anaheim Angels",2.5
9070,Metals & Mining,"mining, commodities",2.5
7988,Media & Entertainment,media,2.5
2164,Media & Entertainment,media,2.5
7796,Finance and Investments,hedge funds,2.5
1437,Healthcare,pharmaceuticals,2.5
5976,Gambling & Casinos,"casinos, hotels",2.5
5357,Healthcare,generic drugs,2.5
1783,Finance and Investments,investments,2.5
4520,Service,ticketing service,2.5
3535,Technology,Microsoft,2.5
8574,Finance and Investments,venture capital,2.5
1976,Manufacturing,hygiene products,2.5
4533,Construction & Engineering,construction,2.5
4807,Fashion & Retail,H&M,2.5
8890,Finance and Investments,"Facebook, Palantir",2.5
6078,Sports,San Francisco 49ers,2.5
5819,Technology,technology,2.5
3647,Healthcare,pharmaceuticals,2.5
9861,Finance and Investments,investment research,2.5
6239,Manufacturing,hygiene products,2.5
9044,Real Estate,real estate,2.5
7738,Media & Entertainment,"circus, live entertainment",2.5
2312,Fashion & Retail,fashion retailer,2.5
3577,Food and Beverage,Diversified,2.5
9032,Energy,"oil, investments",2.5
8613,Food and Beverage,vodka,2.5
4033,Energy,oil & gas,2.5
4147,Finance and Investments,banking,2.5
3807,Automotive,"art, car dealerships",2.5
6007,Automotive,auto parts,2.5
6697,Manufacturing,auto parts,2.5
7811,Gambling & Casinos,online gambling,2.5
4568,Manufacturing,chemicals,2.5
6783,Finance and Investments,banking,2.5
7005,Energy,"oil, investments",2.5
7489,Food and Beverage,spirits,2.5
9100,Diversified,diversified,2.5
3205,Real Estate,real estate,2.5
6968,Finance and Investments,hedge funds,2.5
6081,Fashion & Retail,cosmetics,2.5
6664,Manufacturing,synthetic gloves,2.5
2645,Fashion & Retail,cosmetics,2.5
9906,Gambling & Casinos,casinos,2.5
1729,Sports,sports,2.5
8744,Gambling & Casinos,pachinko parlors,2.5
9330,Fashion & Retail,consumer goods,2.5
2248,Finance and Investments,investments,2.5
2893,Fashion & Retail,"Wal-Mart, logistics",2.4
7362,Fashion & Retail,retail,2.4
9275,Metals & Mining,mining,2.4
9779,Fashion & Retail,consumer goods,2.4
8303,Fashion & Retail,consumer goods,2.4
4932,Fashion & Retail,consumer goods,2.4
6629,Fashion & Retail,consumer goods,2.4
5139,Fashion & Retail,consumer goods,2.4
3950,Fashion & Retail,consumer goods,2.4
8687,Service,"hotels, investments",2.4
5781,Finance and Investments,"hotels, investments",2.4
8103,Healthcare,pharmaceuticals,2.4
4128,Healthcare,pharmaceuticals,2.4
5505,Diversified,diversified,2.4
9574,Fashion & Retail,consumer goods,2.4
1317,Sports,"real estate, Los Angeles Chargers",2.4
7042,Real Estate,real estate,2.4
9662,Automotive,auto repair,2.4
1952,Service,education,2.4
5883,Finance and Investments,private equity,2.4
2222,Fashion & Retail,retail,2.4
5519,Service,education,2.4
9514,Finance and Investments,investments,2.4
5109,Media & Entertainment,media,2.4
5394,Fashion & Retail,hardware stores,2.4
6117,Technology,software,2.4
7733,Finance and Investments,banking,2.4
7487,Real Estate,"real estate, investments",2.4
3241,Real Estate,real estate,2.4
4121,Food and Beverage,liquor,2.4
2933,Food and Beverage,Subway sandwich shops,2.4
9059,Real Estate,real estate,2.4
6310,Manufacturing,flavorings,2.4
8417,Fashion & Retail,drugstores,2.4
6884,Food and Beverage,orange juice,2.4
