SearchName,Nationality
Murli_Dhar_&_Bimal_Kumar_Gyanchandani,
Bill_Haslam,U.S.
Hu_Baifan,
Bradley_Jacobs,
Brad_Kelley,U.S.
Stephen_Lansdown,
Martin_Lau,
Lee_Joong-Keun,
Kenneth_Lo,
Clayton_Mathile,
Stanley_Perron,Australia
Filiz_Sahenk,Turkey
Peter_Spuhler,
Wong_Man_Li,
Aziz_Akhannouch,Morocco
Ron_Baron,
Shyam_&_Hari_Bhartia,
Tatiana_Casiraghi,U.S.
"Chase_Coleman,_Iii.",
Mark_Coombs,U.K.
Alexander_Frolov,
Vinod_&_Anil_Rai_Gupta,
Torstein_Hagen,Norway
Hans-Werner_Hector,
Ke_Xiping,
Suna_Kirac,
Kong_Jian_Min,
Koo_Bon-Moo,
Heikki_Kyostila,Finland
Peter_Lim,
Scott_Lin,
Tomas_Olivo_Lopez,
Stewart_Rahr,U.S.
T._Denny_Sanford,
"Karl_Scheufele,_Iii.",
Shen_Guojun,
Alain_Taravella,France
Oleg_Tinkov,
T.Y._Tsai,
Tung_Chee_Hwa,China
Ted_Turner,U.S.
Lang_Walker,
Xiao_Wenge,
Xiong_Xuqiang,
Takao_Yasuda,
William_Young,
Eddie_&_Sol_Zakay,
Zhang_Xiugen,
Patricia_Angelini_Rossi,
Josef_Boquoi,
Nikolai_Buinov,
Richard_Chandler,
Patokh_Chodiev,
Choo_Chong_Ngen,
Sanjiv_Goenka,
Alec_Gores,Israel
David_Hains,Australia
William_Heinecke,
Huang_Hongyun,
Huang_Zhenda,
Jiang_Yehua,
Willibert_Krueger,
Kuok_Khoon_Hong,
Christian_Latouche,France
Guenther_Lehmann,
Li_Hongxin,
Liang_Yunchao,
Catherine_Lozick,
Igor_Makarov,
Mao_Lixiang,
Harsh_Mariwala,India
Martin_Moller_Nielsen,Denmark
Georg_Nemetschek,
Vikas_Oberoi,
Maja_Oeri,Switzerland
Ong_Beng_Seng_And_Christina_Ong,
Heloise_Pratt,
Kavitark_Ram_Shriram,India
Sylvia_Stroeher,
Tang_Shing-Bor,
David_Walentas,U.S.
Ronald_Wanek,U.S.
Ye_Cheng,
Zhu_Gongshan,
Antti_Aarnio-Wihuri,Finland
S._Daniel_Abraham,
Joao_Alves_De_Queiroz_Filho,
Mika_Anttonen,
Andrei_Bokarev,
Friederike_Braun-Luedicke,
Ron_Burkle,U.S.
Vivek_Chand_Burman,
James_Clark,
Fritz_Draexlmaier,
Glenn_Dubin,U.S.
Jayme_Garfinkel,
Sam_Goi,China
Carlos_Hank_Rhon,
Christoph_Henkel,Germany
Hu_Kaijun,
Ramesh_Juneja,
Lee_Boo-Jin,
Lee_Jay-Hyun,
Wolfgang_Leitner,Austria
Li_Ge,
Jeffrey_Lurie,
Ma_Xingtian,
Sarah_Macmillan,
Lachhman_Das_Mittal,
Mofatraj_Munot,
Florentino_Perez,Spain
Chuchat_&_Daonapa_Petaumpai,
Arvind_Poddar,
Francisco_Jose_Riberas_Mera,
Rodney_Sacks,South Africa
Hilton_Schlosberg,South Africa
Lucy_Stitzer,
Satoshi_Suzuki,
Katherine_Tanner,U.S.
Amy_Wyss,
Jon_Yarbrough,U.S.
Saif_Al_Ghurair,U.A.E.
Syed_Mokhtar_Albukhary,
Miriam_Baumann-Blocher,Switzerland
Albert_Berner,
Thomas_Bruch,
Kiat_Chiaravanont,Thailand
Jean-Paul_And_Martine_Clozel,
Charles_Edelstenne,France
Bernd_Freier,
Bill_Gross,
Suat_Gunsel,Cyprus
Shmuel_Harlap,
Roberto_Hernandez_Ramirez,
Johannes_Kaercher,
Lee_Myung-Hee,
Lee_Seo-Hyun,
Liang_Jiankun,
Liao_Long-Shing,
Lin_Shu-Hong,
Yasseen_Mansour,Egypt
David_Nahmad,Lebanon
Alexander_Nesis,Russia
Nandan_Nilekani,India
Ranjan_Pai,
Park_Hyeon-Joo,South Korea
Megdet_Rahimkulov,
Stephen_Rubin,U.K.
Remo_Ruffini,France
Erik_Selin,Sweden
Peter_Sondakh,
Tseng_Shin-Yi,
Wang_Qingtao,
Gustav_Magnar_Witzoe,
Horst_Wortmann,
Xiao_Yongming,
Xue_Xiangdong,
Zhang_Xuansong,
Zheng_Yuewen,
Zhou_Xiaoguang,
Susanne_Zimmermann_Von_Siefart,
Aras_Agalarov,
Maurice_Alter,Poland
An_Kang,
Alex_Beard,
Nicolas_Berggruen,France
Vladimir_Bogdanov,Russia
Julio_Bozano,
Anna_Maria_Braun,
Karl_Friedrich_Braun,
Edouard_Carmignac,
Cheung_Yan,
Chung_Mong-Joon,South Korea
Jack_Cowin,
Cui_Genliang,
Kommer_Damen,Netherlands
Diego_Della_Valle,Italy
N._Murray_Edwards,
Clement_Fayat,France
Stewart_Horejsi,
John_Kapoor,India
Li_Zongsong,
Willy_Michel,
Masahiro_Noda,
Gregorio_Perez_Companc,Argentina
Linda_Pritzker,
Qin_Hui,
Matthias_Reinhart,
Brian_Roberts,
Thaksin_Shinawatra,Thailand
William_Stone,
Julia_Stoschek,Germany
Maximilian_Stoschek,
Ba_Duong_Tran,
Wu_Yulan,
Xu_Hang,
Yang_Erzhu,
Yao_Kuizhang,
Sheng_Jian_Zhong,
Marcel_Adams,Canada
"Herbert_Allen,_Jr.",
Roman_Avdeev,Russia
Emilio_Azcarraga_Jean,
Lesley_Bamberger,
Hubertus_Benteler,
Ludwig_Theodor_Braun,
Nicola_Bulgari,Italy
Paolo_Bulgari,Italy
Chen_Dejun,
Tony_Chen,
Chen_Xueli,
Luigi_Cremonini,Italy
Domenico_Dolce,Italy
Pavel_Durov,Russia
Robert_Fisher,
William_Fisher,
Stefano_Gabbana,Italy
Rolf_Gerling,
Serge_Godin,
Mehmet_Nazif_Gunal,Turkey
Yusuf_Hamied,Poland
Huang_Chulong,
Devendra_Jain,India
Jiang_Yintai,
Anthony_Langley,U.K.
Li_San_Yim,
Ma_Xiuhui,
Kishore_Mariwala,
Craig_Mccaw,
Miguel_Mckelvey,
Vincent_Mcmahon,
David_Mcmurtry,
Gary_Michelson,
Massimo_Moratti,Italy
Farhad_Moshiri,Iran
Jerry_Moyes,
Ou_Zongrong,
Nihat_Ozdemir,Turkey
Park_Yeon-Cha,
Roger_Penske,U.S.
Qi_Shi,China
Theodore_Rachmat,
Juan_Maria_Riberas_Mera,
Vijay_Shekhar_Sharma,India
Konstantin_Strukov,
Wichai_Thongtang,
Torsten_Toeller,
Roman_Trotsenko,
Todd_Wagner,
John_Whittaker,
Xu_Qiming,
Melih_Abdulhayoglu,Turkey
Mohamed_Al_Fayed,Egypt
Faisal_Bin_Qassim_Al_Thani,
William_F._Austin,U.S.
Louis_Bacon,
Achal_Bakeri,India
Othman_Benjelloun,Morocco
William_Berkley,
John_Bloor,England
Cai_Wensheng,
Ahmet_Calik,
Michel_Chalhoub,France
Cho_Jung-Ho,
Turgay_Ciner,
Steve_Conine,U.S.
Jacques_D'Amours,Canada
Robert_Defares,
Alexander_Dzhaparidze,
Mario_Gabelli,
Marcos_Galperin,
Radhe_Shyam_Goenka,
Christopher_Goldsbury,
Stelios_Haji-Ioannou,Greece
Ilkka_Herlin,Finland
Brian_Higgins,U.S.
Kenji_Kasahara,
Kim_Taek-Jin,
Edward_Lampert,U.S.
Li_Li,
Pier_Luigi_Loro_Piana,Italy
Gian_Marco_Moratti,
Manuel_Moroun,U.S.
Robert_Mouawad,
Marius_Nacht,Romania
Lirio_Parisotto,
Karl-Johan_Persson,
Tom_Persson,
Dmitry_Pumpyansky,Russia
Ruan_Shuilong,
Sheryl_Sandberg,U.S.
Niraj_Shah,U.S.
Shin_Dong-Guk,
Ben_Silbermann,U.S.
David_Teoh,Malaysia
Wang_Jinshu,
Wang_Yaohai,
Charlotte_Colket_Weber,
Wei_Ing-Chou,
Yin-Chun_Wei,
Wei_Yin-Heng,
Wong_Kwong_Yu,China
Wu_Jianshu,
Wu_Xu,
Wu_Xushun,
Luis_Enrique_Yarur_Rey,
Albert_Yeung,
Yu_Rong,
Zhuang_Kuilong,
Jose_Joao_Abdalla_Filho,
Folorunsho_Alakija,Nigeria
Bill_Alfond,
Susan_Alfond,
Ted_Alfond,U.S.
Oleg_Boyko,
Ana_Maria_Brescia_Cafferata,Peru
Binod_Chaudhary,
Chen_Qingzhou,
Mohammed_Dewji,
Eric_Douglas,U.S.
Faruk_Eczacibasi,Turkey
